,ResponseId,Q409,eBMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,name,value,stim,rating,pre_post,stim_type
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X21_Q397,4,21,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X22_Q397,2,22,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X23_Q397,5,23,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X24_Q397,6,24,liking,pre,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X25_Q397,3,25,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X26_Q397,4,26,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X27_Q397,3,27,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X28_Q397,3,28,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X29_Q397,3,29,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X30_Q397,2,30,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X31_Q397,3,31,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X32_Q397,2,32,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X33_Q397,5,33,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X34_Q397,2,34,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X35_Q397,4,35,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X36_Q397,4,36,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X37_Q397,4,37,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X38_Q397,3,38,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X39_Q397,3,39,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X40_Q397,2,40,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X41_Q397,3,41,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X42_Q397,5,42,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X43_Q397,6,43,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X44_Q397,4,44,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X45_Q397,3,45,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X46_Q397,2,46,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X47_Q397,5,47,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X48_Q397,3,48,liking,pre,control
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X1_Q454,6,1,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X2_Q454,7,2,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X3_Q454,5,3,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X4_Q454,5,4,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X5_Q454,4,5,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X6_Q454,4,6,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X7_Q454,3,7,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X8_Q454,7,8,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X9_Q454,1,9,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X10_Q454,2,10,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X11_Q454,1,11,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X12_Q454,4,12,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X13_Q454,3,13,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X14_Q454,3,14,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X15_Q454,2,15,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X16_Q454,4,16,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X17_Q454,4,17,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X18_Q454,7,18,liking,post,illusion
1,11226458,Laurel,95,18,17,16,15,16,13,5,4,5.8889,3.8333,5.7143,5.5,4.8889,114,13,1,0,3,0,1,3,2,3,0,1,12,X19_Q454,7,19,liking,post,illusion
