,ResponseId,Q409,eBMRQ_total,BMRQ_total,BMRQ_emotion,BMRQ_sensorimotor,BMRQ_moodreg,BMRQ_musicseek,BMRQ_socialreward,BMRQ_absorption,Gold_total,Gold_activeengagement,Gold_perceptualabilities,Gold_musicaltraining,Gold_singingabilities,Gold_emotion,Gold_musicalsophistication,AIMS_total,PASS_total,PASS_sex,PASS_eating,PASS_touch,PASS_feeling,PASS_sound,PASS_vision,PASS_movement,PASS_temperature,PASS_general,PASS_smell,PASS_noaud,location
195,R_50qEDYlixG7CGE6,Laurel,39,35,9,9,8,5,4,4,1.810810811,1.111111111,2.444444444,1.333333333,1.571428571,2.666666667,1.166666667,41,25,1,3,7,0,4,2,5,0,1,1,21,boston
196,R_51jl1Vqsxdj7OaJ,Yanny,74,65,18,6,16,11,14,9,3.594594595,2.555555556,5.444444444,1,4.285714286,4.166666667,2.777777778,68,12,0,0,1,0,6,1,4,0,0,0,6,boston
197,R_52JiWa30eGuQxQb,Yanny,72,63,9,17,15,12,10,9,1.675675676,1.333333333,2.333333333,1.5,1.428571429,1.666666667,1.333333333,59,17,0,2,4,0,4,1,0,3,1,1,13,boston
198,R_53X2ENZP8N1ilVV,Yanny,88,71,15,11,15,15,15,17,4.756756757,3.222222222,5.777777778,3.833333333,6,5,4.666666667,114,15,0,1,3,1,4,1,2,2,0,1,11,boston
199,R_53xJbxjguuhIS0J,Yanny,70,62,11,9,20,13,9,8,2.918918919,3.666666667,2.666666667,1.5,1.857142857,4.833333333,2.166666667,81,9,0,0,4,0,3,0,2,0,0,0,6,boston
200,R_54is6YpVG92a5wa,Yanny,97,83,15,16,17,16,19,14,5.351351351,4.888888889,6.222222222,5.166666667,4.571428571,5.833333333,5.277777778,126,3,1,0,1,0,0,0,0,1,0,0,3,boston
201,R_56bxT7y7ljShk4L,Laurel,115,97,19,20,20,18,20,18,6.081081081,6.111111111,6.555555556,3.833333333,6.571428571,7,5.611111111,155,4,1,0,0,0,0,0,0,2,0,0,4,boston
202,R_5772wGWAsqWXafa,Yanny,41,36,7,6,8,7,8,5,2.297297297,1.444444444,4.222222222,1,1.428571429,3,1.555555556,50,25,1,0,6,0,6,0,8,2,1,0,19,boston
203,R_58RsHVkXDsNvqGl,Yanny,66,59,14,10,13,9,13,7,3.243243243,2.444444444,4.222222222,1.5,3.285714286,4.666666667,2.444444444,64,13,4,0,3,1,1,1,3,0,0,0,12,boston
204,R_58UvKsuhmonuzrp,Yanny,109,90,18,19,20,17,16,19,5.378378378,4.666666667,5.777777778,4.166666667,5.857142857,6.5,4.833333333,149,7,2,0,3,0,0,0,0,0,0,1,7,boston
205,R_5aADUBwBGvizkJz,Laurel,84,69,16,11,14,12,16,15,4.675675676,4.888888889,4.777777778,4,4.428571429,5.166666667,4.722222222,127,7,0,0,5,0,1,0,0,1,0,0,6,boston
206,R_5BOVbuViJTqYT0L,Laurel,106,86,18,15,20,16,17,20,5.864864865,5.111111111,6.777777778,3.666666667,7,6.5,5.833333333,148,9,1,0,3,0,1,0,2,1,0,1,8,boston
207,R_5CEpirOhwHvZNNn,Laurel,65,58,11,6,16,14,11,7,2.918918919,2.333333333,3.222222222,2.833333333,3.571428571,2.666666667,3,76,32,0,2,8,0,5,6,6,2,1,2,27,boston
208,R_5CjQFUtlvpzkvVw,Laurel,83,74,15,19,15,13,12,9,4.054054054,3.222222222,5.555555556,1.166666667,4.571428571,5.333333333,3.222222222,89,12,1,0,5,1,3,0,2,0,0,0,9,boston
209,R_5cY59OJwijOnqCE,Yanny,98,83,15,19,20,16,13,15,3.324324324,3,3.666666667,2.166666667,2.714285714,5.166666667,2.777777778,116,15,0,1,3,1,3,2,3,2,0,0,12,boston
210,R_5dMRJuCaKzZk0rM,Laurel,42,36,6,6,8,9,7,6,2.756756757,1.666666667,5,1.833333333,2.571428571,2.166666667,2.222222222,58,22,1,2,3,0,8,4,3,0,0,1,14,boston
211,R_5Dq3ozQeRgyOyRK,Yanny,74,65,12,17,11,11,14,9,2.621621622,1.444444444,3.777777778,1.666666667,3.285714286,2.833333333,2.444444444,72,12,2,2,1,1,2,3,0,1,0,0,10,boston
212,R_5dS8xizMsZ2A3WC,Laurel,102,87,16,19,17,17,18,15,4.972972973,4.666666667,6.888888889,1,4.571428571,7,3.944444444,123,9,0,1,4,1,1,0,0,2,0,0,8,boston
213,R_5eCsfhfPQNVJB6M,Laurel,105,89,16,17,20,18,18,16,5.108108108,4.777777778,5.333333333,3.166666667,6.142857143,6,4.944444444,128,12,0,2,2,1,2,3,1,0,0,0,10,boston
214,R_5edU0riXjx8lVMH,Yanny,66,58,8,8,16,18,8,8,3.702702703,3.666666667,5.111111111,1.833333333,3.428571429,3.833333333,2.944444444,66,27,2,0,6,0,6,5,4,2,0,1,21,boston
215,R_5fCj8TjhaARd3RT,Yanny,77,70,16,17,16,10,11,7,3.378378378,1.555555556,5.111111111,2.166666667,4.428571429,3.5,3.111111111,65,28,3,4,7,1,7,1,4,0,0,0,21,boston
216,R_5FKxi41AaM72ki2,Laurel,84,74,20,11,19,15,9,10,3.810810811,4.222222222,6,1,1.857142857,5,2.5,76,16,0,0,4,1,4,1,3,1,1,1,12,boston
217,R_5fvT75Xc2YemT0e,Laurel,92,76,16,14,16,15,15,16,4.918918919,4.444444444,4.666666667,5.333333333,5,5.5,4.722222222,133,7,4,0,0,1,1,0,0,0,0,0,6,boston
218,R_5FxGTNXDh4UhPWz,Laurel,94,75,14,18,17,14,12,19,4.378378378,4,5.111111111,2.333333333,4,6.333333333,3.444444444,143,23,2,1,6,0,6,1,2,3,0,1,17,boston
219,R_5g6plKWUQlCfIY1,Yanny,103,85,19,17,19,12,18,18,4.675675676,3,5.111111111,5.166666667,5.142857143,5.5,4.388888889,144,11,0,2,3,0,2,1,1,2,0,0,9,boston
220,R_5GJ45FMf95KFP9L,Yanny,113,95,20,20,20,20,15,18,5.918918919,6.666666667,7,1.833333333,6.285714286,6.833333333,5.277777778,146,5,2,0,0,0,0,0,1,1,0,0,5,boston
221,R_5hDCne6rbrXPreN,Yanny,82,70,14,17,18,15,6,12,3.351351351,2.666666667,5.111111111,1.833333333,1.857142857,5,2.166666667,80,7,0,0,0,0,3,0,1,2,0,1,4,boston
222,R_5HivoHSZoAqg8iA,Laurel,108,88,20,19,20,16,13,20,5.162162162,4.555555556,6.444444444,4.166666667,3.571428571,7,4.555555556,162,18,0,1,6,0,4,2,4,0,0,1,14,boston
223,R_5HWjH4uBLXza8rn,Laurel,104,89,19,17,19,16,18,15,3.648648649,4.222222222,4.555555556,1.166666667,3,4.666666667,2.833333333,126,10,0,2,3,0,2,1,1,1,0,0,8,boston
224,R_5ieS1QJeGa5RK5b,Yanny,79,69,9,14,16,16,14,10,3.567567568,4.333333333,4.444444444,1,2.285714286,5.166666667,2.5,87,17,2,3,1,0,4,0,4,1,0,1,13,boston
